
*******   STEP   1      *** NEFF=10 CALCULATION                
   26   0.351E-03   0.242E+01   0.149E-02
   27   0.352E-03   0.242E+01   0.149E-02
   28   0.353E-03   0.242E+01   0.145E-02
   29   0.354E-03   0.242E+01   0.140E-02
   30   0.355E-03   0.242E+01   0.138E-02
   31   0.356E-03   0.243E+01   0.140E-02
   32   0.358E-03   0.243E+01   0.143E-02
   33   0.359E-03   0.243E+01   0.142E-02
   34   0.360E-03   0.243E+01   0.139E-02
   35   0.361E-03   0.243E+01   0.135E-02
   36   0.363E-03   0.244E+01   0.134E-02
   37   0.364E-03   0.244E+01   0.135E-02
   38   0.366E-03   0.244E+01   0.136E-02
   39   0.367E-03   0.244E+01   0.136E-02
   40   0.369E-03   0.244E+01   0.133E-02
   41   0.370E-03   0.245E+01   0.130E-02
   42   0.372E-03   0.245E+01   0.129E-02
   43   0.374E-03   0.245E+01   0.130E-02
   44   0.376E-03   0.245E+01   0.131E-02
   45   0.377E-03   0.246E+01   0.130E-02
   46   0.379E-03   0.246E+01   0.128E-02
   47   0.380E-03   0.246E+01   0.125E-02
   48   0.382E-03   0.246E+01   0.124E-02
   49   0.384E-03   0.246E+01   0.125E-02
   50   0.386E-03   0.247E+01   0.125E-02
   51   0.388E-03   0.247E+01   0.124E-02
   52   0.389E-03   0.247E+01   0.122E-02
   53   0.391E-03   0.247E+01   0.121E-02
   54   0.393E-03   0.247E+01   0.120E-02
   55   0.395E-03   0.248E+01   0.120E-02
   56   0.396E-03   0.248E+01   0.120E-02
   57   0.398E-03   0.248E+01   0.119E-02
   58   0.400E-03   0.248E+01   0.117E-02
   59   0.402E-03   0.248E+01   0.116E-02
   60   0.403E-03   0.248E+01   0.115E-02
   61   0.405E-03   0.249E+01   0.115E-02
   62   0.407E-03   0.249E+01   0.114E-02
   63   0.409E-03   0.249E+01   0.113E-02
   64   0.411E-03   0.249E+01   0.112E-02
   65   0.412E-03   0.249E+01   0.111E-02
   66   0.414E-03   0.249E+01   0.110E-02
   67   0.416E-03   0.249E+01   0.110E-02
   68   0.418E-03   0.249E+01   0.109E-02
   69   0.420E-03   0.249E+01   0.108E-02
   70   0.421E-03   0.250E+01   0.107E-02
   71   0.423E-03   0.250E+01   0.106E-02
   72   0.425E-03   0.250E+01   0.105E-02
   73   0.427E-03   0.250E+01   0.105E-02
   74   0.428E-03   0.250E+01   0.104E-02
   75   0.430E-03   0.250E+01   0.104E-02
   76   0.432E-03   0.250E+01   0.102E-02
   77   0.434E-03   0.250E+01   0.101E-02
   78   0.435E-03   0.250E+01   0.101E-02
   79   0.437E-03   0.250E+01   0.100E-02
   80   0.439E-03   0.250E+01   0.997E-03
   81   0.441E-03   0.250E+01   0.988E-03
   82   0.442E-03   0.250E+01   0.978E-03
   83   0.444E-03   0.249E+01   0.969E-03
   84   0.446E-03   0.249E+01   0.963E-03
   85   0.447E-03   0.249E+01   0.957E-03
   86   0.449E-03   0.249E+01   0.951E-03
   87   0.451E-03   0.249E+01   0.942E-03
   88   0.452E-03   0.249E+01   0.933E-03
   89   0.454E-03   0.249E+01   0.925E-03
   90   0.456E-03   0.249E+01   0.919E-03
   91   0.457E-03   0.248E+01   0.913E-03
   92   0.459E-03   0.248E+01   0.906E-03
   93   0.461E-03   0.248E+01   0.898E-03
   94   0.462E-03   0.248E+01   0.890E-03
   95   0.464E-03   0.247E+01   0.882E-03
   96   0.466E-03   0.247E+01   0.876E-03
   97   0.467E-03   0.247E+01   0.870E-03
   98   0.469E-03   0.246E+01   0.863E-03
   99   0.470E-03   0.246E+01   0.855E-03
  100   0.472E-03   0.246E+01   0.848E-03

*******   STEP   7      *** NEFF=10 CALCULATION                
    1   0.802E-03   0.201E+01   0.124E+00
    2   0.166E-02   0.204E+01   0.834E-01
    3   0.155E-02   0.206E+01   0.601E-01
    4   0.136E-02   0.207E+01   0.457E-01
    5   0.125E-02   0.208E+01   0.369E-01
    6   0.123E-02   0.208E+01   0.316E-01
    7   0.125E-02   0.208E+01   0.282E-01
    8   0.129E-02   0.208E+01   0.261E-01
    9   0.134E-02   0.208E+01   0.246E-01
   10   0.138E-02   0.208E+01   0.235E-01
   11   0.143E-02   0.208E+01   0.225E-01
   12   0.147E-02   0.208E+01   0.217E-01
   13   0.151E-02   0.208E+01   0.209E-01
   14   0.154E-02   0.208E+01   0.202E-01
   15   0.157E-02   0.207E+01   0.195E-01
   16   0.160E-02   0.207E+01   0.189E-01
   17   0.163E-02   0.206E+01   0.182E-01
   18   0.166E-02   0.206E+01   0.176E-01
   19   0.168E-02   0.205E+01   0.170E-01
   20   0.170E-02   0.205E+01   0.164E-01
   21   0.172E-02   0.204E+01   0.158E-01
   22   0.174E-02   0.203E+01   0.153E-01
   23   0.176E-02   0.203E+01   0.147E-01
   24   0.178E-02   0.202E+01   0.142E-01
   25   0.179E-02   0.201E+01   0.137E-01
   26   0.180E-02   0.200E+01   0.132E-01
   27   0.182E-02   0.199E+01   0.127E-01
   28   0.183E-02   0.198E+01   0.122E-01
   29   0.184E-02   0.196E+01   0.118E-01
   30   0.184E-02   0.195E+01   0.113E-01
   31   0.185E-02   0.194E+01   0.109E-01
   32   0.186E-02   0.192E+01   0.105E-01
   33   0.186E-02   0.191E+01   0.101E-01
   34   0.187E-02   0.189E+01   0.970E-02
