
*******   STEP   1      *** NEFF=10 CALCULATION                
    2   0.202E-03   0.225E-02   0.431E-03
    3   0.371E-04   0.440E-03   0.790E-04

*******   STEP  10      *** NEFF=10 CALCULATION                
    1   0.127E-02   0.120E-02   0.241E-02
    2   0.199E-03   0.222E-02   0.425E-03
    3   0.363E-04   0.424E-03   0.772E-04

*******   STEP  11      *** NEFF=10 CALCULATION                
    1   0.126E-02   0.119E-02   0.238E-02
    2   0.197E-03   0.220E-02   0.420E-03
    3   0.355E-04   0.412E-03   0.757E-04

*******   STEP  12      *** NEFF=10 CALCULATION                
    1   0.124E-02   0.117E-02   0.236E-02
    2   0.194E-03   0.217E-02   0.415E-03
    3   0.349E-04   0.402E-03   0.744E-04

*******   STEP  13      *** NEFF=10 CALCULATION                
    1   0.123E-02   0.116E-02   0.233E-02
    2   0.192E-03   0.214E-02   0.410E-03
    3   0.343E-04   0.393E-03   0.732E-04

*******   STEP  14      *** NEFF=10 CALCULATION                
    1   0.121E-02   0.114E-02   0.230E-02
    2   0.190E-03   0.212E-02   0.405E-03
    3   0.338E-04   0.386E-03   0.722E-04

*******   STEP  15      *** NEFF=10 CALCULATION                
    1   0.120E-02   0.113E-02   0.227E-02
    2   0.187E-03   0.209E-02   0.400E-03
    3   0.334E-04   0.380E-03   0.712E-04

*******   STEP  16      *** NEFF=10 CALCULATION                
    1   0.118E-02   0.111E-02   0.225E-02
    2   0.185E-03   0.207E-02   0.395E-03
    3   0.329E-04   0.374E-03   0.702E-04

*******   STEP  17      *** NEFF=10 CALCULATION                
    1   0.117E-02   0.110E-02   0.222E-02
    2   0.183E-03   0.204E-02   0.391E-03
    3   0.325E-04   0.369E-03   0.693E-04

*******   STEP  18      *** NEFF=10 CALCULATION                
    1   0.116E-02   0.109E-02   0.219E-02
    2   0.181E-03   0.202E-02   0.386E-03
    3   0.321E-04   0.363E-03   0.684E-04

*******   STEP  19      *** NEFF=10 CALCULATION                
    1   0.114E-02   0.108E-02   0.217E-02
    2   0.179E-03   0.199E-02   0.381E-03
    3   0.317E-04   0.359E-03   0.676E-04

*******   STEP  20      *** NEFF=10 CALCULATION                
    1   0.113E-02   0.106E-02   0.214E-02
    2   0.177E-03   0.197E-02   0.377E-03
    3   0.313E-04   0.354E-03   0.667E-04

*******   STEP  21      *** NEFF=10 CALCULATION                
    1   0.112E-02   0.105E-02   0.212E-02
    2   0.175E-03   0.194E-02   0.372E-03
    3   0.309E-04   0.349E-03   0.659E-04

*******   STEP  22      *** NEFF=10 CALCULATION                
    1   0.110E-02   0.104E-02   0.209E-02
    2   0.172E-03   0.192E-02   0.368E-03
    3   0.306E-04   0.345E-03   0.651E-04

*******   STEP  23      *** NEFF=10 CALCULATION                
    1   0.109E-02   0.103E-02   0.207E-02
    2   0.170E-03   0.190E-02   0.363E-03
    3   0.302E-04   0.341E-03   0.643E-04

*******   STEP  24      *** NEFF=10 CALCULATION                
    1   0.108E-02   0.101E-02   0.204E-02
    2   0.168E-03   0.188E-02   0.359E-03
    3   0.298E-04   0.336E-03   0.635E-04

*******   STEP  25      *** NEFF=10 CALCULATION                
    1   0.107E-02   0.100E-02   0.202E-02
    2   0.166E-03   0.185E-02   0.355E-03
    3   0.295E-04   0.332E-03   0.627E-04

*******   STEP  26      *** NEFF=10 CALCULATION                
    1   0.105E-02   0.990E-03   0.199E-02
    2   0.164E-03   0.183E-02   0.351E-03
    3   0.291E-04   0.328E-03   0.620E-04

*******   STEP  27      *** NEFF=10 CALCULATION                
    1   0.104E-02   0.979E-03   0.197E-02
    2   0.163E-03   0.181E-02   0.346E-03
    3   0.288E-04   0.324E-03   0.612E-04

*******   STEP  28      *** NEFF=10 CALCULATION                
    1   0.103E-02   0.968E-03   0.195E-02
    2   0.161E-03   0.179E-02   0.342E-03
    3   0.284E-04   0.320E-03   0.605E-04

*******   STEP  29      *** NEFF=10 CALCULATION                
    1   0.102E-02   0.956E-03   0.192E-02
    2   0.159E-03   0.177E-02   0.338E-03
    3   0.281E-04   0.316E-03   0.598E-04

*******   STEP  30      *** NEFF=10 CALCULATION                
    1   0.101E-02   0.946E-03   0.190E-02
    2   0.157E-03   0.175E-02   0.334E-03
    3   0.278E-04   0.313E-03   0.591E-04

*******   STEP  31      *** NEFF=10 CALCULATION                
    1   0.994E-03   0.935E-03   0.188E-02
    2   0.155E-03   0.173E-02   0.330E-03
    3   0.274E-04   0.309E-03   0.584E-04

*******   STEP  32      *** NEFF=10 CALCULATION                
    1   0.982E-03   0.924E-03   0.186E-02
    2   0.153E-03   0.171E-02   0.327E-03
    3   0.271E-04   0.305E-03   0.577E-04

*******   STEP  33      *** NEFF=10 CALCULATION                
    1   0.971E-03   0.914E-03   0.184E-02
    2   0.152E-03   0.169E-02   0.323E-03
    3   0.268E-04   0.302E-03   0.570E-04

*******   STEP  34      *** NEFF=10 CALCULATION                
    1   0.960E-03   0.903E-03   0.182E-02
    2   0.150E-03   0.167E-02   0.319E-03
    3   0.265E-04   0.298E-03   0.563E-04

*******   STEP  35      *** NEFF=10 CALCULATION                
    1   0.949E-03   0.893E-03   0.180E-02
    2   0.148E-03   0.165E-02   0.315E-03
    3   0.262E-04   0.295E-03   0.557E-04

*******   STEP  36      *** NEFF=10 CALCULATION                
    1   0.939E-03   0.883E-03   0.177E-02
    2   0.146E-03   0.163E-02   0.312E-03
    3   0.259E-04   0.291E-03   0.550E-04

*******   STEP  37      *** NEFF=10 CALCULATION                
    1   0.928E-03   0.874E-03   0.175E-02
    2   0.145E-03   0.161E-02   0.308E-03
    3   0.256E-04   0.288E-03   0.544E-04

*******   STEP  38      *** NEFF=10 CALCULATION                
    1   0.918E-03   0.864E-03   0.174E-02
    2   0.143E-03   0.159E-02   0.305E-03
    3   0.253E-04   0.284E-03   0.538E-04

*******   STEP  39      *** NEFF=10 CALCULATION                
    1   0.908E-03   0.854E-03   0.172E-02
    2   0.142E-03   0.158E-02   0.301E-03
    3   0.250E-04   0.281E-03   0.531E-04

*******   STEP  40      *** NEFF=10 CALCULATION                
    1   0.898E-03   0.845E-03   0.170E-02
    2   0.140E-03   0.156E-02   0.298E-03
    3   0.247E-04   0.278E-03   0.525E-04

*******   STEP  41      *** NEFF=10 CALCULATION                
    1   0.888E-03   0.836E-03   0.168E-02
    2   0.139E-03   0.154E-02   0.295E-03
    3   0.245E-04   0.275E-03   0.519E-04

*******   STEP  42      *** NEFF=10 CALCULATION                
    1   0.879E-03   0.827E-03   0.166E-02
    2   0.137E-03   0.152E-02   0.291E-03
    3   0.242E-04   0.272E-03   0.514E-04

*******   STEP  43      *** NEFF=10 CALCULATION                
    1   0.869E-03   0.818E-03   0.164E-02
    2   0.136E-03   0.151E-02   0.288E-03
    3   0.239E-04   0.269E-03   0.508E-04

*******   STEP  44      *** NEFF=10 CALCULATION                
    1   0.860E-03   0.809E-03   0.162E-02
    2   0.134E-03   0.149E-02   0.285E-03
    3   0.237E-04   0.266E-03   0.502E-04

*******   STEP  45      *** NEFF=10 CALCULATION                
    1   0.851E-03   0.801E-03   0.161E-02
    2   0.133E-03   0.148E-02   0.282E-03
    3   0.234E-04   0.263E-03   0.497E-04

*******   STEP  46      *** NEFF=10 CALCULATION                
    1   0.842E-03   0.792E-03   0.159E-02
