    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.032     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.033     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.033     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.033     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.033     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.034     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.034     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.034     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.034     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.035     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.035     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.035     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.035     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.036     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.036     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.036     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.036     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.037     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.037     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.037     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.037     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.038     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.038     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.038     0.000     0.001     0.006     0.001     0.000     0.001     0.001     0.011     0.001     0.000
     0.038     0.001     0.001     0.008     0.001     0.001     0.001     0.001     0.012     0.001     0.001
     0.038     0.013     0.006     0.009     0.003     0.008     0.006     0.003     0.004     0.001     0.005
     0.038     0.007     0.003     0.000     0.001     0.026     0.009     0.005     0.000     0.001     0.038
     0.038     0.002     0.009     0.001     0.001     0.018     0.003     0.016     0.001     0.001     0.031
     0.038     0.007     0.019     0.001     0.000     0.005     0.011     0.032     0.002     0.000     0.010
     0.038     0.047     0.062     0.005     0.003     0.065     0.041     0.056     0.007     0.003     0.033
     0.038     0.041     0.012     0.005     0.004     0.008     0.089     0.024     0.010     0.007     0.016
     0.038     0.040     0.000     0.004     0.004     0.007     0.098     0.001     0.009     0.009     0.017
     0.038     0.041     0.013     0.004     0.004     0.009     0.091     0.022     0.008     0.009     0.016
     0.038     0.048     0.064     0.005     0.004     0.070     0.044     0.055     0.008     0.006     0.032
     0.038     0.007     0.019     0.004     0.001     0.006     0.011     0.032     0.007     0.001     0.010
     0.038     0.002     0.009     0.002     0.001     0.018     0.004     0.016     0.003     0.002     0.030
     0.038     0.008     0.006     0.009     0.002     0.027     0.010     0.007     0.011     0.005     0.035
     0.038     0.009     0.009     0.012     0.015     0.016     0.010     0.010     0.014     0.018     0.019
     0.038     0.005     0.001     0.006     0.002     0.002     0.006     0.001     0.008     0.002     0.002
     0.038     0.002     0.000     0.001     0.000     0.000     0.003     0.001     0.001     0.001     0.001
    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.038     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.038     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.038     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.038     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.039     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.039     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.039     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.039     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.040     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.040     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.040     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.040     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.041     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.041     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.041     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.041     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.042     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.042     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.042     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.042     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.043     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.043     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.043     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.043     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.044     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.044     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.044     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.044     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.045     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.045     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.045     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.045     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.046     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.046     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.046     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.046     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.047     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.047     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.047     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.047     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.048     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.048     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.048     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.048     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.049     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.049     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.049     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.049     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.050     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.050     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.050     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.050     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.007     0.001     0.000
     0.050     0.000     0.000     0.006     0.001     0.000     0.001     0.001     0.011     0.001     0.000
     0.050     0.001     0.001     0.008     0.001     0.001     0.001     0.001     0.012     0.001     0.001
     0.050     0.013     0.006     0.009     0.002     0.008     0.006     0.003     0.004     0.001     0.005
     0.050     0.007     0.003     0.000     0.001     0.026     0.009     0.005     0.000     0.001     0.038
     0.050     0.002     0.009     0.000     0.001     0.018     0.003     0.016     0.001     0.001     0.031
     0.050     0.007     0.019     0.001     0.000     0.005     0.011     0.032     0.002     0.000     0.010
     0.050     0.047     0.062     0.005     0.003     0.065     0.041     0.055     0.007     0.003     0.034
     0.050     0.041     0.012     0.005     0.004     0.008     0.090     0.024     0.009     0.007     0.016
     0.050     0.040     0.000     0.004     0.004     0.007     0.099     0.001     0.009     0.009     0.017
     0.050     0.041     0.013     0.004     0.004     0.009     0.092     0.022     0.008     0.009     0.016
     0.050     0.048     0.064     0.005     0.004     0.070     0.044     0.054     0.008     0.006     0.032
     0.050     0.007     0.019     0.004     0.001     0.005     0.011     0.031     0.007     0.001     0.010
     0.050     0.002     0.009     0.002     0.001     0.018     0.004     0.016     0.003     0.002     0.030
     0.050     0.008     0.006     0.009     0.002     0.026     0.010     0.006     0.010     0.005     0.035
     0.050     0.009     0.009     0.011     0.015     0.016     0.010     0.009     0.014     0.018     0.019
     0.050     0.005     0.001     0.006     0.002     0.002     0.006     0.001     0.008     0.002     0.002
     0.050     0.002     0.000     0.001     0.000     0.000     0.003     0.001     0.001     0.001     0.001
    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
